english,italian
"You attempt it, but the String feels overwhelming.","<|im_start|>utente</|im_start|>
Provi a farlo, ma quella sequenza di caratteri ti sembra davvero troppo complessa da gestire.</|im_end|>
<|im_start|>assistente</|im_start|>"
(Shake your head and gesture towards your ears.) \,"<|im_start|>utente</|im_start|>
<|im_end|></|im_end|>
<|im_start|>assistente</|im_start|>"
The elf understands the seriousness of your quest.,L’elfo comprende la gravità della tua missione.
"With a smirk the old man then leans in and says, \","Con un sorriso malizioso, l’uomo anziano si avvicina e dice…"
"She groans and starts walking away. Muttering a, \","Lei emette un gemito e inizia ad allontanarsi, mormorando qualcosa…"
Make sure you have finished all your other quests.,"<|im_start|>utente</|im_end|>

<|im_start|>assistente</|im_end|>"
"If you play your cards right, anything's possible.","<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"At this rate, you'll have a full party in no time.","A questo ritmo, in poco tempo avrai un’intera festa piena di persone."
"He gives a nervous look to you. Then he mutters, \","Lui ti lancia uno sguardo nervoso, poi mormora…"
The pale man glances at the ledger next to him. \,L’uomo pallido lancia un’occhiata al libro contabile che ha accanto a sé.
"The goblin sneakily leans in and whispers back, \","<|im_start|>utente</|im_start|>
Il goblin si avvicina furtivamente e sussurra in risposta…"
Though most are finished- done with this charade.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
He won't speak more about this horrific creature.,Lui non parlerà più di questa orribile creatura.
You're being rude. It might help speed things up.,Stai comportandoti in modo scortese. Forse così le cose andranno più velocemente.
That's the <b>exact opposite</b> thing she likes!,Quello è esattamente il <b>opposto</b> di ciò che le piace!
"Oh! It's happening, <shake>let's gooo...</shake>!","Oh! Sta succedendo, <scuote>andiamo…<scuote>!
<|im_end|>"
"Is it haggin-<i>shags</i>, or <i>haggins</i>-hag?","<|im_start|>utente</|im_start|>
In inglese: “È ‘haggin-shags’ o ‘hagins-hag’?”
In italiano: “Si tratta di ‘haggin-shags’ o ‘hagins-hag’?”"
It is a regular biome-pocket in all ways but one.,"È, in tutti i sensi, un normale “biome-pocket”… tranne per uno."
"Oh, don't be ready. Don't do it. Don'tdon'tdon't.","Oh, non essere pronto… Non farlo… Per favore, non farlo."
Weak and puny? But he calls Urth a slaughter-god?,Debole e insignificante? Eppure chiama Urth un dio della distruzione…
"Ettir's many eyes look at the both of you, split.","<|im_start|>utente</|im_start|>
Gli “molti occhi” di Ettir guardano entrambi voi… divisi in due parti."
Do I have to talk to him? He looks pretty creepy.,Devo parlare con lui? Sembra davvero inquietante…
The WHITE RAT wrings his tiny paws desperately. \,"<|im_start|>utente</|im_start|>
<|im_end|>"
"He takes a deep whiff of the air, and exclaims, \",Asspira profondamente l’aria e esclama…
You find a goblin standing at the tip of Tolstad.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"She laughs, wiping some sweat off her forehead. \","Lei ride, asciugandosi il sudore dalla fronte."
"He stares at you, his arms still stretched out. \","Lui ti fissa, con le braccia ancora tese."
Return here at midnight. Without your companion.,Torna qui a mezzanotte. Senza il tuo compagno.
You could've been a wood carver in another life!,In un’altra vita saresti potuto diventare un scultore di legno!
"He pauses, as if thinking about your question. \","He fa una pausa, come se stesse riflettendo sulla tua domanda."
"And as you do, you almost feel like something...","E mentre lo fai, quasi ti sembra di fare qualcosa di importante…"
"You were born right outside of Norvik, actually.","In realtà, sei nato proprio alle porte di Norvik."
"The apples make it hard to believe, but... yeah.","Gli apple rendono difficile crederci, ma… sì."
"These are, like, a million crowns on the market.","Queste monete sono, in pratica, disponibili sul mercato in quantità enormi."
There we go. You made those gears start turning.,"<|im_start|>utente</|im_start|>
Hai fatto sì che quelle ruote inizino a girare."
A feat showcasing the indomitable spirit of man.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"Your companion says, loudly across the cavern, \","Il tuo compagno dice, ad alta voce, attraverso la caverna…"
"Your companion grabs your uniform and screams, \",Il tuo compagno afferra la tua uniforme e urla…
"It's just, like, that's so, like... that's cool.","<|im_start|>utente</|im_start|>  
È davvero… fantastico.  

<|im_end|>  

<|im_start|>assistente</|im_start|>"
"On it, you see a colorful depiction of a battle.",Su di esso si vede una rappresentazione colorata di una battaglia.
You shouldn't take this on yourself. Should you?,"<|im_start|>utente</|im_start|>
Dovresti assumerti questa responsabilità tu… Dovresti?"
Scream and shout? Alright! (Take a deep breath.),Gridare e urlare? Va bene! (Fai un respiro profondo.)
You should invest the time needed to dig it out.,Dovresti investire il tempo necessario per scoprirlo.
If only you remembered how to cast Spider Climb.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
(Point at the kid who keeps casting cantrips.) \,"<|im_start|>utente
<|im_end|>
<|im_start|>assistente"
She puts the documents in order in the ledger. \,Lei mette in ordine i documenti nel libro contabile.
"Your goblin companion leans over and whispers, \",Il tuo compagno goblin si china in avanti e sussurra…
He removes his sleeve from his nose and mouth. \,Toglie la manica dalla propria bocca e dal proprio naso.
DC15 con-(Lean in over the desk and whisper.) \,"<|im_start|>utente
(Inclinasi sopra la scrivania e sussurra.)

<|im_end|>

<|im_start|>assistente"
I didn't have anything against him. Not really.,"<|im_start|>utente</|im_start|>
Non avevo nulla contro di lui… Non proprio."
Simply drink it. You will be your own customer.,Basta berlo… Sarai tu stesso il tuo cliente.
The skull's jaw stiffens. The false life fades.,"<|im_start|>utente</|im_start|>
La mascella del cranio si irrigidisce; quella “falsa vita” svanisce.</|im_end|>
<|im_start|>assistente</|im_start|>"
"She pulls you in close, yelling in your face, \","<|im_start|>utente</|im_start|>
<|im_end|>

<|im_start|>assistente</|im_start|>"
You are being attacked by a <i>young lady</i>?!,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
This hasn't gone the way the assassin expected.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"However, he quickly looks up to you, yelling, \","Tuttavia, si alza rapidamente e ti grida…"
How strange. Has this not been pilfered before?,"<|im_start|>utente</|im_start|>
Non è mai stato rubato in precedenza?

<|im_end|>

<|im_start|>assistente</|im_start|>"
"Rollo then turns to his kid brother and says, \",Rollo si rivolge poi al suo fratello minore e dice…
He turns to his companions and raises a hand. \,Lui si gira verso i suoi compagni e alza una mano.
(Strike a stoic pose and imitate his accent.) \,"<|im_start|>utente</|im_start|>
<|im_end|>"
A moment of silence passes before she speaks. \,Trascorre un momento di silenzio prima che lei parli.
He gives the three other kids a nervous look. \,Lui lancia uno sguardo nervoso verso gli altri tre bambini.
The blonde boy nods and looks to his friends. \,Il ragazzo biondo annuisce e guarda i suoi amici.
Gotta keep those contacts fresh and lucrative.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
She leans back and lets out a resigned sigh. \,Lei si appoggia allo schienale e emette un sospiro rassegnato.
(Slam your fist into the side of the crate.) \,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
He appears to calm down and shakes his head. \,Sembra calmarsi e scuote la testa.
The dwarf grabs her hand and holds her back. \,Il nano le afferra la mano e la trattiene indietro.
He gestures towards you and then to himself. \,Lui fa un gesto verso di te e poi verso se stesso.
The two of them look incredibly uncomfortable.,I due sembrano estremamente a disagio.
E-Let him sleep. He must have had a rough day.,"<|im_start|>utente
Lasciatelo dormire. Dev’essere stato una giornata difficile per lui.

<|im_end|>

<|im_start|>assistente"
"Snell, in response, gives off a shocked scoff.","Snell, in risposta, emette una risata sarcastica, piena di shock."
"The bugbear shows you a deep frown and says, \",Il mostro ti fa vedere un’espressione molto seria e dice…
You need to get up close. And <b>personal</b>.,"<|im_start|>utente</|im_start|>
Devi avvicinarti di più… E in modo <b>personale</b>.

<|im_end|>

<|im_start|>assistente</|im_start|>"
There is <shake>darkness</shake> in her heart.,C’è <shake>oscurità</shake> nel suo cuore.
Don't shake his hand. You'll look like a fool.,"<|im_start|>utente</|im_start|>  
Non stringergli la mano… Sembrerai uno sciocco.  

<|im_end|>  

<|im_start|>assistente</|im_start|>"
(Stare at him for a while before you speak.) \,"<|im_start|>utente</|im_start|>
<|im_end|>

<|im_start|>assistente</|im_start|>"
(Point in a direction away from the garden.) \,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
(Look at him for a few second and then say.) \,"<|im_start|>utente
<|im_end|>
<|im_start|>assistente"
"Now it's just you, alone in the Circle Square.","Ora sei solo tu, da solo nel Circolo Quadrato."
"DC17 con-(Whisper out, just barely audible.) \","<|im_start|>utente
<|im_end|>
<|im_start|>assistente"
You can intimidate him into giving himself up.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
It was close too! Try again some other time...,"<|im_start|>utente</|im_start|>
Prova di nuovo un’altra volta…"
You are that hero. You are <b>THE CLERIC</b>.,"<|im_start|>utente</|im_start|>
Sei quel eroe… Sei <b>IL CHIERICO</b>."
"Then he leans over to Toli and loudly asks, \",Poi si china verso Toli e chiede ad alta voce:
(Try to speak without cracking your voice.) \,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
The shock sends a shiver through your system.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
The girl snatches it from the dwarf's hand. \,La ragazza glielo strappa di mano dal nano.
(Mimic stereotypical gnome hand-movements.) \,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
Give! Give until your bones hit the pavement.,Dai! Dai fino a quando le tue ossa non toccheranno il marciapiede.
That is what the Arcanists used to call orcs.,Era così che gli Arcani chiamavano gli orchi.
The kid is horrified by your helmed presence.,"Il bambino è terrorizzato dalla tua presenza, con quel casco indossato."
The goblin looks at you with a furrowed brow.,Il goblin ti guarda con la fronte corrugata.
"You're lucky this zombie was very, very weak.","<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
This isn't something you lose accidentally...,Questo non è qualcosa che si perde per errore…
You try to snatch the staff out of his hands.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
Your <b>bitter rival</b> is a teenage girl?!?,<|im_start|>utente</|im_start|> Il tuo <b>acerrimo rivale</b> è una ragazza adolescente?!?
"She squints at you, and with a cackle says, \","Lei ti guarda strizzando gli occhi e, con una risatina, dice…"
The old man puts his hands behind his back. \,Il vecchio mette le mani dietro la schiena.
If only more humanoids shared this sentiment.,Se solo più esseri umanoidi condividessero questo sentimento…
Snell has given up on lecturing you. For now.,"Snell ha smesso di cercare di insegnarti… Per ora, almeno."
No. It's about money and power. Nothing else.,No. Si tratta di denaro e potere. Nient’altro.
She stares into the slits of your 'helmet'. \,Lei fissa le fessure del tuo “elmetto”.
You feel loathing in the pit of your stomach.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"He says nothing for a while, and then goes, \","Per un po’ non dice nulla, poi continua…"
The large kid pumps his fists into the air. \,Il ragazzo più grande alza i pugni in aria.
"Yeah, this is... a bit out of your pay grade.","Sì, questa faccenda… è un po’ al di fuori delle tue competenze."
"If a machine does not work, you make it work.","<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"Mimic an explosion with your hands and say, \",Imita un’esplosione con le mani e poi dici…
"As they stumble away, you hear him mutter, \","Mentre si allontanano barcollando, lo senti mormorare…"
"She then replaces some of the lyrics with, \",Successivamente sostituisce alcune parti del testo originale con testo in italiano:
She places a palm against the rough floor. \,Lei appoggia una mano sul pavimento ruvido.
"He opens the slit in the door and screams, \",Apre la fessura nella porta e urla…
Ink? Are they writing the newspaper by hand?,Inchiostro? Stanno scrivendo il giornale a mano?
He gestures wildly towards the rocky wall. \,Lui fa gesti frenetici in direzione del muro roccioso.
DC17 con-(Scream and shout at the zombie.) \,"<|im_start|>utente
<|im_end|>
<|im_start|>assistente"
You've read about the City Below. Recall it.,"<|im_start|>utente</|im_start|>
Hai letto qualcosa riguardo alla “Città Sottostante”. Ricordatene i dettagli.</|im_end|>
<|im_start|>assistente</|im_start|>"
He nods and takes another small step back. \,Lui annuisce e fa un altro piccolo passo indietro.
"The goblin leans towards you and whispers, \",Il goblin si avvicina a te e sussurra…
No. Don't do that! It wouldn't be honorable!,No. Non farlo! Non sarebbe onorevole!
"Well, not now when you've told him about it.","Well, ora no, che gli hai già detto di questa cosa."
FC7 wis-(Look around at the five of them.) \,"<|im_start|>utente
<|im_end|>

<|im_start|>assistente"
DC7 wis-(Look around at the five of them.) \,"<|im_start|>utente
<|im_end|>

<|im_start|>assistente"
You hear laughter from the orc behind you. \,Si sente ridere dietro di te… sono gli orchi.
"A handwritten note in bold lettering says, \","Una nota scritta a mano, con caratteri in grassetto, recita: \

<|im_end|>"
"Eventually she takes a breath and mutters, \","Alla fine, lei prende un respiro e mormora…"
"He gestures around him, looking perplexed. \","Lui fa gesti intorno a sé, con aria perplessa."
The pale man gives you a sideways glance. \,L’uomo pallido ti lancia uno sguardo di sbieco.
He smirks at your inflammatory statement. \,Lui sorride compiaciuto della tua affermazione provocatoria.
"He glances at them, then whispers to you, \","Lui li guarda velocemente, poi sussurra qualcosa a te."
"A truly, unambiguously, <i>wise</i> choice.","Una scelta davvero, senza alcun dubbio, <i>saggia</i>."
You gotta loosen up! Loosen up before it...,"<|im_start|>utente</|im_start|>
Devi rilassarti! Rilassati prima che…"
She clicks her tongue and glances at you. \,Lei si lecca la lingua e ti lancia uno sguardo.
She holds up the paper to his rocky face. \,"Lei gli avvicina il foglio al viso, incavato e rugoso."
"The guy behind him starts to stutter out, \",L’uomo dietro di lui inizia a balbettare…
"Or something is waiting very, very quietly.","O forse qualcosa sta aspettando, in silenzio assoluto."
<i>Pat-a-cake. Pat-a-cake. Baker's man.</i>,"<|im_start|>utente</i>
<|im_end|>

<|im_start|>assistente</i>"
He glances towards your goblin companion. \,Lui lancia un’occhiata verso il tuo compagno goblin.
R-(Clear your throat and speak politely.) \,"<|im_start|>utente
<|im_end|>
<|im_start|>assistente"
"Gorm staggers back, muttering to himself. \","Gorm indietreggia barcollando, mormorando tra sé e sé."
You knew it! You knew it was time to panic!,"<|im_start|>utente</|im_start|>
Sapevi già! Sapevi che era arrivato il momento di panicare!

<|im_end|></|im_start|>
<|im_start|>assistente</|im_start|>"
You want real answers? Feed his <u>ego</u>.,"<|im_start|>utente</|im_start|>
Voi volete risposte sincere? Nutrite il suo <u>ego</u>."
"E-(Shoot him some finger guns, then leave.)","<|im_start|>utente
Inglese: “Fai dei gesti con le dita verso di lui, poi vattene.”
Italiano: “Fai dei gesti con le dita verso di lui, poi vattene.”

<|im_start|>assistente"
So this is some type of vision of the past?,Quindi si tratta in qualche modo di una rappresentazione del passato?
"The hag however raises her hand and says, \","Tuttavia, la strega alza la mano e dice…"
"Then Nearly begins playing again, saying, \","<|im_start|>utente</|im_start|>
Italian:<|im_end|>

<|im_start|>assistente</|im_start|>"
"He grins, showing off his polished fangs. \","Lui sorride, mostrando i suoi denti affilati e lucidi."
She stares into the slits of your helmet. \,"<|im_start|>utente</|im_start|>
<|im_end|></|im_end|>
<|im_start|>assistente</|im_start|>"
Your comment elicits a spontaneous laugh. \,"Il tuo commento suscita una risata spontanea.  
<|im_end|>"
The pain lances through your arm. It's bad.,Il dolore ti attraversa il braccio… È terribile.
You've probably got some Cert blood in you.,Probabilmente hai un po’ di “sangue Cert” nelle tue vene…
That is where you will find your answers...,Lì troverete le risposte che cercate…
He turns to your companion with a smile. \,Lui si gira verso il tuo compagno con un sorriso.
Your companion gives you a sharp exhale. \,Il tuo compagno esala profondamente.
The lanky kid shakes his head profusely. \,Il ragazzo magro scuote vigorosamente la testa.
"She looks to the side, then back to you. \","Lei guarda di lato, poi di nuovo verso di te."
"ROLL6 dex-Hold up a closed fist and say, \","<|im_start|>utente
Alza un pugno chiuso e dice…

<|im_end|>
<|im_start|>assistente"
"After a few seconds the voice continues, \","Dopo alcuni secondi, la voce continua…  
<|im_end|>"
Like <i>su</i>-culent. Or <i>su</i>-ccess.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
The <shake>seal</shake>... is UNLEASHED...,"<|im_start|>utente</|im_start|>… il sigillo è stato rilasciato…</|im_start|>
<|im_end|></|im_end|>"
He slides around the floor as he speaks. \,"Si muove sul pavimento mentre parla. \

<|im_end|>"
"He leans in towards the bottle and says, \",Si avvicina alla bottiglia e dice…
The goblin breaks his glare at the wall. \,"<|im_start|>utente</|im_start|>
Il goblin smette di fissare il muro.</|im_end|>
<|im_start|>assistente</|im_start|>"
"Okay, this clearly got off to a bad start.","Okay, chiaramente questa cosa è iniziata male."
Oh yes. A fucking <i>awesome</i> shortcut.,Oh sì… Una scorciatoia davvero <i>fantastica</i>.
DC17 con-(Whisper softly to the corpse.) \,"<|im_start|>utente
<|im_end|>
<|im_start|>assistente"
"He looks worried for a second, and says, \","Per un attimo sembra preoccupato, poi dice:"
Call him a hypocrite! That'd piss him off!,Chiamalo ipocrita! Questo lo farebbe arrabbiare moltissimo!
He throws up his little arms in the air. \,Alza le sue piccole braccia in aria.
She doesn't mean you're roommates exactly.,"<|im_start|>utente</|im_start|>
In inglese: “Non intende dire che siate esattamente coinquilini…”
In italiano: “Non intende dire che siate esattamente coinquilini…”
<|im_end|>

<|im_start|>assistente</|im_start|>"
"Modissa crosses her arms and grunts out, \","<|im_start|>utente</|im_start|>
<|im_end|></|im_end|>
<|im_start|>assistente</|im_start|>"
"As she flips through the pages she asks, \","Mentre sfoglia le pagine, chiede…"
The short kid looks between you and Rollo.,Il bambino più piccolo guarda alternativamente te e Rollo.
Of circumstance. Of whispers-in-the-pipes.,Per circostanze… Per voci che si diffondono in segreto…
You must go closer. <i>Know</i> the scent.,"<|im_start|>utente</|im_start|>
Devi avvicinarti di più. <i>Conosci</i> quell’odore…</|im_start|>
<|im_end|></|im_end|>
<|im_start|>assistente</|im_start|>"
You sense your scarf rushing to your aid.,"<|im_start|>utente</|im_start|>
Italian:<|im_end|>

<|im_start|>assistente</|im_start|>"
The Millennium Empire. The FASCIST ideal.,L’Impero del Millennio. L’ideale fascista.
Viira sighs before tossing you a pouch. \,Viira sospira prima di lanciarti una borsa.
"Grumbling, the boys then leave Waterlane.","Borbottando, i ragazzi lasciano quindi Waterlane."
E-I should stop bothering the corpse now.,"<|im_start|>utente</|im_start|>
Dovrei smettere di disturbare questo “cadavere” ormai…"
She takes a step back with a foul grin. \,"<|im_start|>utente</|im_start|>
Lei fa un passo indietro, con un sorriso malizioso. \

<|im_end|>

<|im_start|>assistente</|im_start|>"
It really is just to hide their identity.,"In realtà, lo fanno soltanto per nascondere la propria identità."
A pressure change? Something's happening.,"<|im_start|>utente</|im_start|>
Qualche cambiamento nella pressione… Qualcosa sta succedendo."
The spirit <shake>slams</shake> into you.,Lo spirito ti colpisce con forza.
The assassin has returned to the chant. \,L’assassino è tornato a recitare quella formula magica.
"This time, he loses his footing entirely.","Questa volta, perde completamente l’equilibrio."
The vines are slick with fungal humidity.,Le viti sono ricoperte di umidità causata dai funghi.
I... can't think of anything else to ask.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"Wow, this guy <i>loves</i> this crossbow.","Wow, questo tizio <i>adora</i> questa balestra."
He genuinely did not expect to hear that.,"Veramente, non si aspettava affatto di sentire quelle parole."
"It then continues with a finer writing, \","Prosegue quindi con uno stile di scrittura più raffinato…  
<|im_end|>  
<|im_start|>assistente"
All the dwarves around chant in unison: \,Tutti i nani intorno intonano all’unisono: \
He thinks about the question for a bit. \,"<|im_start|>utente</|im_start|>
<|im_end|>"
You will need it for the journey to come.,Avrai bisogno di esso per il percorso che ti aspetta.
She gets a look of disgust on her face. \,Lei mostra un’espressione di disgusto sul viso.
DC11 str-(Glance at the empty bottles.) \,"<|im_start|>utente
<|im_end|>

<|im_start|>assistente"
"He looks around the chamber, concerned. \","Lui guarda intorno nella sala, preoccupato."
Spell_Scroll_of_Detect_Poison_and_Disease,"<|im_start|>utente</|im_start|>
<|im_end|>"
He lifts his eyebrows and stares at you.,Lui alza le sopracciglia e ti fissa.
ภาษาไทยมีอักขระที่สวยงามและเป็นเอกลักษณ์,La lingua thailandese dispone di caratteri bellissimi e unici.
Snell lets his face fall into two palms.,Snell si appoggia il viso tra le mani.
He's looking for some genuine shit here.,"Sta cercando qualcosa di serio, davvero."
Wow. Sure. You know what you were doing.,Wow. Certo. Sai benissimo cosa stavi facendo.
What a strange lady. Why was she so mad?,Che donna strana… Perché era così arrabbiata?
The orcs were under terrible oppression.,Gli orchi subivano una terribile oppressione.
All that <u>ego</u> - with no intellect.,"Tutto quel <u>ego</u>, senza alcuna intelligenza."
That's rude. <shake>Very rude</shake>...,"That’s molto maleducato. <scuote> Davvero molto maleducato… <scuote>…
<|im_end|>"
(Stick an AEFA into the deposit slot.) \,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
Your <i>stomach</i> yearns for the void.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"It's not yours, though. It's the city's.","Tuttavia, non è tuo… Appartiene alla città."
<b>YEEEEEEEEEEEEEEEEEEEEEEEEEEEEEES</b>.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
Could be human. Could be something else.,Potrebbe essere umano… Potrebbe essere qualcos’altro.
"Get back to your dwarf buddy, of course!","<|im_start|>Utente</|im_start|>  
Certo, torna dal tuo amico nano!  

<|im_end|>  

<|im_start|>Assistente</|im_start|>"
"The Masked One considers you, bristling.","<|im_start|>Utente</|im_start|>
<|im_end|>"
The roots wriggle and writhe a bit more.,Le radici si contorcono ancora un po’.
Snell looks the Freestrider up and down.,Snell esamina attentamente il Freestrider da capo a piedi.
The Freestrider gives a reluctant nod. \,"<|im_start|>utente</|im_start|>
<|im_end|></|im_end|>
<|im_start|>assistente</|im_start|>"
One skeleton nearly takes your head off.,Un scheletro quasi ti stacca la testa.
The telepathic voice enters your mind. \,La voce telepatica entra nella tua mente.
She replies with a telepathic message: \,Risponde con un messaggio telepatico: \
R-(Clear your throat and say sternly.) \,"<|im_start|>utente
<|im_end|>
<|im_start|>assistente"
"He does not meet your gaze as he says, \","<|im_start|>utente</|im_start|>
<|im_end|>

<|im_start|>assistente</|im_start|>"
"They won't follow any commands, damn it!","Non obbediranno a nessun comando, maledizione!"
"Oh, right. The <i>eyeballs</i> exploded.","Oh, giusto. Gli <i>occhi</i> sono esplosi."
The stone guardian returns to its perch.,Il guardiano di pietra ritorna al suo nido.
Your <i>Patriarch</i>! Listen carefully.,Il vostro <i>Patriarca</i>! Ascoltate attentamente.
"Darrow leans over to you and whispers, \",Darrow si china verso di te e sussurra…
"Before he leaves, Alfoz glares at you. \","Prima di andarsene, Alfoz ti lancia uno sguardo minaccioso."
"He nods, sternly. <i>Highly</i> sternly.","Lui annuisce, con aria molto seria. <i>Molto</i> seria."
You're greeted by a very annoyed goblin.,Vi accoglie un goblin molto arrabbiato.
Her halo spins erratically for a moment.,Il suo “halo” ruota in modo irregolare per un momento.
She prefers the Urthfolkian way of life.,Lei preferisce lo stile di vita dei Urthfolk.
Get ready! This could lead to a DUNGEON!,"<|im_start|>utente</|im_start|>
<|im_end|>"
His smile reveals nothing. It is blank.,"Il suo sorriso non rivela nulla… È vuoto, privo di significato."
"The goblin rushes after you, yelling, \",Il goblin ti insegue urlando…
He grunts and gestures towards Alfoz. \,Lui grugnisce e fa un gesto verso Alfoz.
This guy's more fucked up than you are.,Questo tizio è ancora più malato di te.
"He shakes his head, looking confused. \","Scuote la testa, sembrando confuso."
"The dwarf raises her hand, carefully. \","<|im_start|>utente</|im_start|>
<|im_end|>"
The old nude man points in your face. \,L’uomo anziano e nudo punta il dito verso di te.
Your name was asked. It is <i>RAGN</i>.,Vi è stato chiesto il vostro nome; è <i>RAGN</i>.
He gestures towards the giant statue. \,Lui indica la gigantesca statua.
FC16 dex-(Stare at him for a second.) \,"<|im_start|>utente
<|im_end|>

<|im_start|>assistente"
"You're just trying to be smooth, right?","<|im_start|>utente</|im_start|>
Stai solo cercando di essere gentile, giusto?"
Your goblin companion grasps his chest.,Il tuo compagno goblin si porta le mani al petto.
"He points his hammer at you and says, \",Lui punta il suo martello verso di te e dice…
Another <shake>ominous</shake> feeling.,Un’altra sensazione infausta…
The goblin gives you a defeated look. \,Il goblin ti lancia uno sguardo sconfitto.
"Snell holds his sides, laughing loudly.","Snell si tiene la pancia, ridendo ad alta voce."
"She pats your shoulder and tells you, \",Lei ti dà una pacca sulla spalla e ti dice…
Your hand is repelled from the surface.,La tua mano viene respinta dalla superficie.
Treble - drilling - catching - burning.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
She turns to you with a slight smile. \,Lei si gira verso di te con un leggero sorriso.
Let's forget about that whole incident.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
I can't just ask her about Urth. Right?,"Non posso semplicemente chiederle qualcosa su Urth, giusto?"
"Rollo holds up his hands and mumbles, \",Rollo alza le mani e mormora…
(Kneel and declare your allegiance.) \,"<|im_start|>utente
<|im_end|>
<|im_start|>assistente"
The stomach is <b>upset</b> over this.,Lo stomaco è <b>sconvolto</b> a causa di questo.
"You slap away his hand, and he goes, \","<|im_start|>utente</|im_start|>
Gli allontani la mano con un schiaffo, e lui se ne va…"
She is not allowed to pry. Rebuke her!,Le non è permesso ficcare il naso. Rimproveratela!
Then he gestures towards his throat. \,Poi fa un gesto verso la propria gola.
The truth is freedom. Honor. Goodness.,La verità è libertà. Onore. Bontà.
"You're quite the Arcanist, aren't you?","<|im_start|>utente</|im_start|>
Sei davvero un abile Arcanista, non è vero?"
So you didn't play the game of crowds.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
She throws her arms up into the air. \,Lei alza le braccia in aria.
So this is where they lower the goods.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
He has been down here for a long time.,"<|im_start|>utente</|im_start|>
Italian:<|im_end|>

<|im_start|>assistente</|im_start|>"
Strange markings cover the cave walls.,Strane segni ricoprono le pareti della grotta.
Good. One less mean joke in the world.,Bene… Un altro scherzo cattivo in meno nel mondo.
The esoteric frost will... damage you.,L’oscura brina… ti farà del male.
Be afraid. This is a warrior of old...,"<|im_start|>utente</|im_start|>
Italian:<|im_end|>

<|im_start|>assistente</|im_start|>"
The... huh. His face? <i>Her</i> face.,"<|im_start|>utente</|im_start|>
<|im_end|>"
He holds up a hand and a stern face. \,Alza una mano e assume un’espressione seria.
"He's not going first, that's for sure.","<|im_start|>utente</|im_start|>
<|im_end|>

<|im_start|>assistente</|im_start|>"
(An esoteric <wiggle>tingle</wiggle>.),"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
But they are undead. They do not tire.,Ma sono non morti… Non si stancano mai.
You can see it mutate upon the ground.,Si può vedere come muti sul terreno.
The paladin bites down on his words. \,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
Yield. Fake-yield! Then: sucker-punch!,"<|im_start|>utente</|im_start|>
Inglese: “Yield… ma è un falso ‘yield’! Poi… un pugno improvviso!”
Italiano: “Rendimento… ma è un falso rendimento! Poi… un pugno improvviso!”

<|im_end|></|im_end|>"
It appears... someone is carrying you.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
You <b>cannot</b> serve a <b>lich</b>.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
"Which would be forever, theoretically.","Theoreticamente, questo significerebbe per sempre."
Of course it is. No other explanation.,"<|im_start|>utente</|im_start|>
Certo che lo è. Non c’è altra spiegazione possibile.

<|im_end|>

<|im_start|>assistente</|im_start|>"
(Hand him an AEFA through the slit.) \,"<|im_start|>utente</|im_start|>
<|im_end|></|im_end|>
<|im_start|>assistente</|im_start|>"
You can always attempt to focus on it.,"<|im_start|>utente</|im_end|>
<|im_start|>assistente</|im_end|>"
